"","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"1",23.18,27.272,426,721.25,0.00479298817650529,1
"2",23.15,27.2675,429.5,714,0.00478344094931065,1
"3",23.15,27.245,426,713.5,0.00477946352442199,1
"4",23.15,27.2,426,708.25,0.00477150882608175,1
"5",23.1,27.2,426,704.5,0.00475699293331518,1
"6",23.1,27.2,419,701,0.00475699293331518,1
"7",23.1,27.2,419,701.666666666667,0.00475699293331518,1
"8",23.1,27.2,419,699,0.00475699293331518,1
"9",23.1,27.2,419,689.333333333333,0.00475699293331518,1
"10",23.075,27.175,419,688,0.00474535071966655,1
"11",23.075,27.15,419,690.25,0.00474095189694268,1
"12",23.1,27.1,419,691,0.00473937073052061,1
"13",23.1,27.1666666666667,419,683.5,0.00475111875560951,1
"14",23.05,27.15,419,687.5,0.0047337317970825,1
"15",23,27.125,419,686,0.00471494214590473,1
"16",23,27.125,418.5,680.5,0.00471494214590473,1
"17",23,27.2,0,681.5,0.00472807794966877,0
"18",22.945,27.29,0,685,0.00472795137178073,0
"19",22.945,27.39,0,685,0.0047454083970941,0
"20",22.89,27.39,0,689,0.00472950615591001,0
"21",22.89,27.39,0,689.5,0.00472950615591001,0
"22",22.89,27.39,0,689,0.00472950615591001,0
"23",22.89,27.445,0,691,0.00473907551474663,0
"24",22.89,27.5,0,688,0.00474864516581148,0
"25",22.89,27.5,0,689.5,0.00474864516581148,0
"26",22.79,27.445,0,689,0.00471022404680625,0
"27",22.79,27.5,0,685.666666666667,0.00471973499914952,0
"28",22.79,27.5,0,687,0.00471973499914952,0
"29",22.79,27.5,0,688,0.00471973499914952,0
"30",22.745,27.5,0,670,0.0047067761580489,0
"31",22.7,27.4633333333333,0,668.666666666667,0.00468754308384392,0
"32",22.7,27.5,0,670,0.00469384871410812,0
"33",22.7,27.5,0,667,0.00469384871410812,0
"34",22.6666666666667,27.4266666666667,0,664.5,0.00467170776461751,0
"35",22.7,27.6,0,670,0.00471104653252311,0
"36",22.6,27.4266666666667,0,670.333333333333,0.00465269945869772,0
"37",22.6,27.39,0,672,0.0046464328065348,0
"38",22.6,27.3566666666667,0,658,0.00464073595878431,0
"39",22.6,27.445,0,660.5,0.00465583283178072,0
"40",22.6,27.4266666666667,0,658,0.00465269945869772,0
"41",22.6,27.445,0,655,0.00465583283178072,0
"42",22.6,27.445,0,654.25,0.00465583283178072,0
"43",22.6,27.39,0,648,0.0046464328065348,0
"44",22.5,27.3233333333333,0,648.666666666667,0.00460676320297832,0
"45",22.5,27.445,0,646,0.00462742903214501,0
"46",22.5,27.5,0,646,0.00463677156669758,0
